City ID,City,Country Code,Latitude,Longitude,Temperature,Humidity,Clouds,Wind Speed
2021093,Kuytun,RU,54.3419,101.5036,17.38,94,78,10.4
468063,Yelan',RU,50.949,43.7378,1.69,93,80,9.69
3372472,Vila Franca do Campo,PT,37.7167,-25.4333,59.0,94,75,12.66
88533,Awjilah,LY,29.1081,21.2869,59.16,84,15,9.13
2051471,Dalnegorsk,RU,44.5604,135.5701,30.67,87,6,11.07
1687186,Sarangani,PH,5.4033,125.4636,81.55,74,100,4.32
609906,Fort-Shevchenko,KZ,44.5086,50.263,35.47,86,100,11.63
3115824,Muros,ES,42.7762,-9.0603,37.67,90,80,3.71
2112309,Katsuura,JP,35.1333,140.3,60.82,33,20,23.02
293842,Kiryat Gat,IL,31.61,34.7642,62.62,50,68,4.0
3024035,Concarneau,FR,47.875,-3.9225,42.84,81,90,8.05
1798480,Pumiao,CN,22.75,108.4833,59.0,100,90,4.47
2090021,Namatanai,PG,-3.6667,152.4333,84.16,66,92,7.43
4984247,Ann Arbor,US,42.2776,-83.7409,41.59,75,1,4.61
2537881,Safi,MA,32.2994,-9.2372,52.39,74,2,14.45
5129852,Oneonta,US,42.4529,-75.0638,30.72,84,33,0.96
2093691,Kokoda,PG,-8.8785,147.7407,89.62,45,57,5.91
2156643,Mount Gambier,AU,-37.8333,140.7667,68.0,52,85,8.05
2070998,Geraldton,AU,-28.7667,114.6,82.4,65,0,9.22
1168700,Ormara,PK,25.2088,64.6357,69.03,73,0,3.96
3520989,Puerto Madero,MX,14.7208,-92.4215,78.8,89,40,2.62
1512019,Aksarka,RU,66.5606,67.7975,-23.69,82,97,6.49
2120591,Tilichiki,RU,60.4667,166.1,-5.91,89,100,4.14
1272140,Dwārka,IN,22.2394,68.9678,73.92,79,0,6.15
3440034,Tacuarembó,UY,-31.7333,-55.9833,64.22,89,0,5.93
2122493,Omsukchan,RU,62.5333,155.8,-5.3,83,0,6.62
554830,Izhma,RU,65.0083,53.9113,-15.21,89,100,4.14
2137773,Vao,NC,-22.6667,167.4833,76.19,70,67,11.9
1804430,Lanzhou,CN,36.0564,103.7922,48.2,40,0,2.24
2145214,Victoria Point,AU,-27.5833,153.3,84.92,65,8,8.01
1728675,Balabac,PH,7.9868,117.0645,82.76,73,100,17.09
3466980,Caravelas,BR,-17.7125,-39.2481,75.45,89,99,4.41
4362001,Mayo,US,38.8876,-76.5119,50.77,66,1,3.65
1267635,Karwar,IN,14.8,74.1333,75.24,81,5,5.1
6690296,Saint-Joseph,RE,-21.3667,55.6167,70.75,64,20,5.75
5847411,Kahului,US,20.8947,-156.47,69.55,78,90,9.22
2109528,Buala,SB,-8.145,159.5921,84.11,73,39,1.07
497927,Segezha,RU,63.7415,34.3222,-3.71,92,11,7.96
317844,Çumra,TR,37.5732,32.7745,35.6,64,0,1.14
5954718,Flin Flon,CA,54.7682,-101.865,13.87,92,0,4.65
